No.,Lot ID,Wafer ID,Top_0.3~1,Top_1~5,Top_5~1000,Top sum,Bottom_0.3~1,Bottom_1~5,Bottom_5~1000,Bottom sum,Total sum,Total(>1um),Total(>5um),Judge(Top>5um),EE(>5um)-2mm,EE(>5um)-4mm,EE(>5um)-6mm,EE(>5um)-8mm,EE(>5um)-10mm,EE(>5um)-12mm,EE(>5um)-14mm,EE(>5um)-16mm,EE(>5um)-18mm,EE(>5um)-20mm
1,0010287930,CX19700239E0,1512,746,178,2436,0,2845,91,2936,5372,3860,269,178,178,134,120,103,92,86,82,75,73,59
2,0010287930,CX18700239B0,1327,681,95,2103,0,2360,59,2419,4522,3195,154,95,95,75,69,51,47,38,35,27,26,24
3,0010287930,CX17700239F3,1511,726,102,2339,0,2706,72,2778,5117,3606,174,102,102,76,60,59,57,50,46,40,39,37
4,0010287930,CX16700239C3,1330,748,164,2242,0,2411,80,2491,4733,3403,244,164,164,131,117,105,89,75,59,56,54,46
5,0010287930,CX15700239G6,1616,838,135,2589,0,2832,70,2902,5491,3875,205,135,135,107,100,87,68,51,43,38,35,35
6,0010287930,CX14700239D6,1633,788,110,2531,0,2787,63,2850,5381,3748,173,110,110,89,69,64,53,49,47,37,31,26
7,0010287930,CX13700239A6,1405,862,181,2448,0,2479,114,2593,5041,3636,295,181,181,153,140,127,120,114,107,95,90,80
8,0010287930,CX12700239F1,1404,669,80,2153,0,2386,55,2441,4594,3190,135,80,80,52,47,41,35,34,32,30,28,19
9,0010287930,CX11700239C1,1032,534,90,1656,0,1936,35,1971,3627,2595,125,90,90,63,48,35,29,23,20,19,19,19
10,0010287930,CX10700239G4,1350,674,114,2138,0,2496,66,2562,4700,3350,180,114,114,91,81,76,73,68,64,63,63,61
11,0010287930,CX09700239C1,2611,1192,353,4156,0,4770,271,5041,9197,6586,624,353,353,326,309,299,291,283,274,267,266,265
12,0010287930,CX08700239G4,2042,982,194,3218,0,3723,143,3866,7084,5042,337,194,194,162,146,136,132,113,88,82,78,73
13,0010287930,CX07700239D4,2404,1158,135,3697,0,3801,111,3912,7609,5205,246,135,135,113,104,95,84,76,67,65,65,65
14,0010287930,CX06700239A4,1966,1043,166,3175,0,3242,138,3380,6555,4589,304,166,166,140,121,96,83,75,66,63,57,55
15,0010287930,CX05700239E7,2496,1161,87,3744,0,4009,89,4098,7842,5346,176,87,87,67,62,58,52,48,39,32,28,26
16,0010287930,CX04700239B7,1632,918,284,2834,0,2935,142,3077,5911,4279,426,284,284,253,235,200,179,159,135,116,113,108
17,0010287930,CX03700239G2,1452,740,183,2375,0,2562,96,2658,5033,3581,279,183,183,139,120,113,103,99,85,81,77,75
18,0010287930,CX01700239A2,1759,955,223,2937,0,2978,194,3172,6109,4350,417,223,223,196,187,174,155,142,141,136,132,130
19,0010287930,CX28700237E1,1486,724,158,2368,0,2762,145,2907,5275,3789,303,158,158,133,127,111,95,84,62,47,43,42
20,0010287930,CX27700237B1,1704,903,243,2850,0,3021,175,3196,6046,4342,418,243,243,212,184,162,151,135,128,124,121,114
